#CALIBRATED CUTOFFS FILE - ALL HITS
COG0012	210	0.987128712871287	1
COG0016	240	0.997005988023952	1
COG0018	340	0.964980544747082	1
COG0048	100	0.995983935742972	0.998992950654582
COG0049	120	0.99304865938431	1
COG0052	140	0.99500998003992	1
COG0080	90	0.991071428571429	1
COG0081	130	0.997002997002997	1
COG0085	1020	0.976386036960986	0.957703927492447
COG0087	120	0.997997997997998	1
COG0088	110	0.996	0.998996990972919
COG0090	180	0.997008973080758	1
COG0091	80	0.994	0.997991967871486
COG0092	120	0.99500998003992	1
COG0093	80	0.995014955134596	1
COG0094	110	0.997020854021847	1
COG0096	80	0.999001996007984	1
COG0097	100	0.997997997997998	1
COG0098	140	0.998003992015968	1
COG0099	120	0.997002997002997	1
COG0100	80	0.993981945837513	1
COG0102	100	0.969844357976654	1
COG0103	80	0.994892747701736	0.974
COG0124	320	0.965920155793573	0.998992950654582
COG0172	170	0.9716796875	1
COG0184	60	0.995975855130785	1
COG0185	70	0.997991967871486	1
COG0186	80	0.993013972055888	0.998995983935743
COG0197	70	0.99601593625498	1
COG0200	60	0.996996996996997	0.996
COG0201	210	0.976470588235294	1
COG0202	80	0.981372549019608	1
COG0215	400	0.967487684729064	0.996954314720812
COG0256	70	0.998003992015968	1
COG0495	450	0.977428851815505	0.997995991983968
COG0522	80	0.96257197696737	1
COG0525	740	0.99207135777998	1
COG0533	300	0.997997997997998	1
COG0541	450	0.990872210953347	1
COG0552	220	0.995918367346939	1
